IKN;Yuklenici Firma;Ihale Adi;Parti No;Parti Son Teslim Tarihi;Parti Tutari;Ambar teslimi gerceklesti;Testler basladi;Test sonuclari geldi;Muayene - Kabul  Evragi imzada;Kabul Yapildi;Fatura Kesildi;Odeme Emri Hazirlandi;Aciklama;SonGuncelleme;Parti Miktari;Sozlesme Tarihi;Malzeme Detayi;Heyet Baskanina Haber Verildi;Testler Basladi Detay;Test Sonuclari Geldi Detay;Ihale Turu;Ihale Usulu;Yak. Maliyet;Ihale Tarihi;Ise Baslama Tarihi;Isin Suresi;Cari No;Proje No;Kart No
2025/451860;Tarfer Makina Sanayi ve Ticaret Limited Şirketi;2.000 adet orta boy (1750 mm) Özel Kilit Sistemli Yer Üstü Yangın Hidrantı Temini İşi;1;2025-07-19;8860000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (13.05.2026 00:05);400;2025-06-19;;0.0;;;;;;2026-05-13;2025-06-20;30 Gün;;;
2025/451860;Tarfer Makina Sanayi ve Ticaret Limited Şirketi;2.000 adet orta boy (1750 mm) Özel Kilit Sistemli Yer Üstü Yangın Hidrantı Temini İşi;2;2025-08-18;8860000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:42);400;2025-06-19;;0.0;;;;;;;2025-06-20;60 Gün;;;
2025/451860;Tarfer Makina Sanayi ve Ticaret Limited Şirketi;2.000 adet orta boy (1750 mm) Özel Kilit Sistemli Yer Üstü Yangın Hidrantı Temini İşi;3;2025-09-17;8860000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:42);400;2025-06-19;;0.0;;;;;;;2025-06-20;90 Gün;;;
2025/451860;Tarfer Makina Sanayi ve Ticaret Limited Şirketi;2.000 adet orta boy (1750 mm) Özel Kilit Sistemli Yer Üstü Yangın Hidrantı Temini İşi;4;2025-10-17;8860000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:42);400;2025-06-19;;0.0;;;;;;;2025-06-20;120 Gün;;;
2025/451860;Tarfer Makina Sanayi ve Ticaret Limited Şirketi;2.000 adet orta boy (1750 mm) Özel Kilit Sistemli Yer Üstü Yangın Hidrantı Temini İşi;5;2025-11-16;8860000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:42);400;2025-06-19;;0.0;;;;;;;2025-06-20;150 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";1;2026-01-20;972000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;Test sonuçları kontrol edildi, uygun.;Düzenleme: Halil (26.03.2026 08:24);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;32 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";2;2026-02-19;972000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Fatura Kesildi.;Düzenleme: Halil (26.03.2026 08:25);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;62 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";3;2026-03-21;972000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Fatura Kesildi.;Düzenleme: Halil (26.03.2026 08:25);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;92 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";4;2026-04-20;972000.0;1.0;1.0;1.0;1.0;1.0;;0.0;04/05 tarihinde fatura kesilecek.;Düzenleme: Caner (29.04.2026 10:14);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;122 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";5;2026-05-20;972000.0;1.0;1.0;1.0;1.0;1.0;;0.0;04/05 tarihinde fatura kesilecek.;Düzenleme: Caner (29.04.2026 10:14);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;152 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";6;2026-06-19;972000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 09:50);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;182 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";7;2026-07-19;972000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 09:50);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;212 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";8;2026-08-18;972000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 09:50);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;242 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";9;2026-09-17;972000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 09:50);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;272 Gün;;;
2025/1579360;AVE Döküm San. ve Tic. Ltd. Şti.;"3/4"" Abone Su Kesme Parçası Temini İşi";10;2026-10-17;972000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 09:50);15.000;2025-12-19;;0.0;;;;;;;2025-12-20;302 Gün;;;
